X,Y,Z
428682.9302,872440.2184,40.986244
428676.2374,872423.5461,43.278553
428737.2196,872440.4221,38.170464
428724.6845,872426.6448,40.746887
428704.2195,872437.7411,41.286774
428712.5967,872454.5817,39.219826
428711.5562,872448.9987,39.659966
428726.2476,872375.0172,45.137974
428879.2963,872434.487,32.919998
428945.1707,872328.792,37.867783
428855.5479,872334.6473,34.694187
428827.0425,872343.6285,38.1968
428806.0015,872352.241,40.704224
428450.8906,872772.0418,32.497814
428513.3743,872799.3481,30.734648
428539.8487,872826.5365,30.153448
428818.4228,872613.6483,33.148739
428828.7427,872618.0757,33.476479
428855.8326,872612.1211,34.369717
428816.9073,872550.8262,34.014515
428789.329,872796.8635,32.955166
428798.6205,872839.0565,32.98621
428690.3141,872910.4072,26.806501
428682.0749,872856.6352,28.028242
428628.6253,872809.4068,30.674139
428620.5551,872807.1439,30.600889
428704.7814,872873.7242,28.066189
428600.3184,872793.2637,31.776945
428843.2559,872671.9574,34.149174
428831.9045,872644.3255,33.605106
428606.5125,872465.8751,35.622055
428744.8154,872474.0186,36.700558
428748.2219,872494.2164,35.772293
428760.3227,872504.5858,34.560413
428771.6828,872474.9794,34.388855
428530.1414,872887.0892,28.203201
428689.9739,872868.4184,27.81501
428636.8825,872804.3883,31.170507
428632.8345,872798.1991,31.614841
428478.7595,872882.4471,29.850033
428467.1532,872885.3028,30.111652
428437.5301,872888.0202,32.532944
428468.4676,872717.8377,32.737179
428628.628,872742.6148,32.248192
428767.6305,872821.8329,32.288059
428892.2769,872888.1633,43.668953
428816.7158,872870.2531,35.363304
428819.7142,872745.0141,34.088215
428819.8041,872734.5287,33.858734
428839.7083,872740.6404,36.14809
428882.2573,872719.639,37.955154
428879.6287,872630.0643,36.846794
428906.3053,872582.7834,38.161755
428847.5395,872522.0633,34.683777
428811.8555,872620.2076,33.045177
428811.6003,872498.2764,34.642406
428748.5117,872482.9507,35.940582
428723.805,872440.8894,39.432652
428740.6492,872422.6199,38.506065
428737.7971,872408.3887,41.552258
428712.5156,872418.3583,42.740974
428721.9424,872397.5417,43.265541
428728.2327,872393.1537,43.673252
428716.2509,872385.9408,44.984703
428682.8382,872472.6101,36.819046
428592.1393,872401.417,44.189133
428589.4848,872372.9946,57.842575
428573.0911,872373.267,53.202263
428564.3709,872387.0829,43.923676
428555.1492,872369.8206,50.699482
428559.6114,872408.1392,39.797821
428565.2873,872412.6463,39.317242
428560.6598,872421.3759,37.977623
428543.2212,872416.5582,37.922848
428589.6204,872452.8054,35.822945
428572.8348,872450.4776,35.69257
428425.7138,872439.2322,37.353191
428418.5441,872575.6968,45.146461
428430.801,872629.5709,46.99509
428410.0729,872678.7191,53.115673
428534.1006,872693.4937,33.067192
428600.569,872620.1469,33.223679
428645.9769,872511.1692,34.80666
428532.3972,872359.4793,47.138893
428532.2718,872881.4383,28.381817
